OBJECTID,Join_Count,TARGET_FID,Id,osm_id,highway,waterway,aerialway,barrier,man_made,z_order,other_tags,,,,X,Y
113,3,112,0,103285429,motorway, , , , ,9,"""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""S13""",,,,113.860699 ,30.255118 
121,4,120,0,624104037,motorway, , , , ,9,"""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""S13""",,,,113.862884 ,30.258071 
112,3,111,0,103405841,motorway_link, , , , ,9,"oneway""""=>""""yes""""",,,,113.860439 ,30.258516 
120,4,119,0,624104037,motorway, , , , ,9,"""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""S13""",,,,113.862839 ,30.258011 
85,3,84,0,361773544,primary, , , , ,7, ,,,,113.854653 ,30.257669 
95,3,94,0,103405840,primary, , , , ,7, ,,,,113.858358 ,30.258856 
124,4,123,0,455192434,secondary, , , , ,6, ,,,,113.863297 ,30.252660 
75,3,74,0,624104041,primary, , , , ,7, ,,,,113.850721 ,30.255524 
111,4,110,0,624104037,motorway, , , , ,9,"""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""S13""",,,,113.860316 ,30.254372 
70,3,69,0,261739962,secondary, , , , ,6,"ref""""=>""""X030""""",,,,113.849293 ,30.264511 
87,3,86,0,361773544,primary, , , , ,7, ,,,,113.855699 ,30.257076 
122,4,121,0,240490643,motorway_link, , , , ,9,"oneway""""=>""""yes""""",,,,113.862929 ,30.257998 
123,4,122,0,240490643,motorway_link, , , , ,9,"oneway""""=>""""yes""""",,,,113.862983 ,30.258054 
118,4,117,0,103285429,motorway, , , , ,9,"""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""S13""",,,,113.862741 ,30.258026 
119,4,118,0,103285429,motorway, , , , ,9,"""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""S13""",,,,113.862789 ,30.258087 
109,4,108,0,103285429,motorway, , , , ,9,"""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""S13""",,,,113.860228 ,30.254420 
127,3,126,0,969950747,motorway_link, , , , ,9,"oneway""""=>""""yes""""",,,,113.864065 ,30.259734 
117,3,116,0,624104037,motorway, , , , ,9,"""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""S13""",,,,113.862466 ,30.257508 
128,3,127,0,624104037,motorway, , , , ,9,"""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""S13""",,,,113.865265 ,30.260952 
110,3,109,0,368482908,motorway_link, , , , ,9,"oneway""""=>""""yes""""",,,,113.860241 ,30.258664 
